"","endstate","startstate","NgramSize"
"creators","of","creators",2
"credibility","of","credibility",2
"credit","for","credit",2
"credited","to","credited",2
"credits","for","credits",2
"creeks","and","creeks",2
"creeped","out","creeped",2
"creeping","in","creeping",2
"crew","members","crew",2
"crib","and","crib",2
"cried","when","cried",2
"cries","for","cries",2
"crime","is","crime",2
"crimes","against","crimes",2
"criminal","justice","criminal",2
"crisis","and","crisis",2
"critical","of","critical",2
"criticisms","of","criticisms",2
"criticize","the","criticize",2
"criticized","for","criticized",2
"criticizing","the","criticizing",2
"critics","say","critics",2
"critique","of","critique",2
"crop","of","crop",2
"cross","the","cross",2
"crossed","paths","crossed",2
"crossing","the","crossing",2
"crowd","of","crowd",2
"crowded","but","crowded",2
"crown","and","crown",2
"crucial","to","crucial",2
"cruise","ship","cruise",2
"cruising","in","cruising",2
"crush","on","crush",2
"crushed","by","crushed",2
"crushing","on","crushing",2
"cruz","and","cruz",2
"cry","for","cry",2
"crying","and","crying",2
"crystal","clear","crystal",2
"csi","miami","csi",2
"cuba","and","cuba",2
"cube","and","cube",2
"cucumber","and","cucumber",2
"cue","the","cue",2
"culinary","school","culinary",2
"culmination","of","culmination",2
"cult","of","cult",2
"cultivate","a","cultivate",2
"cultural","center","cultural",2
"culture","and","culture",2
"cultures","and","cultures",2
"culver","city","culver",2
"cup","of","cup",2
"cupcakes","and","cupcakes",2
"cups","of","cups",2
"curated","by","curated",2
"curb","the","curb",2
"cure","for","cure",2
"curiosity","and","curiosity",2
"curious","about","curious",2
"curl","up","curl",2
"curled","up","curled",2
"current","and","current",2
"currently","in","currently",2
"curry","and","curry",2
"curse","of","curse",2
"cursed","with","cursed",2
"cusp","of","cusp",2
"custody","and","custody",2
"customer","service","customer",2
"customers","and","customers",2
"cut","the","cut",2
"cute","and","cute",2
"cuts","and","cuts",2
"cutters","and","cutters",2
"cutting","the","cutting",2
"cy","young","cy",2
"cyber","monday","cyber",2
"cycle","of","cycle",2
"cycling","team","cycling",2
"cystic","fibrosis","cystic",2
"czech","republic","czech",2
"d","and","d",2
"da","one","da",2
"dad","and","dad",2
"dads","are","dads",2
"daily","basis","daily",2
"dairy","queen","dairy",2
"dakota","the","dakota",2
"dalai","lama","dalai",2
"dale","sveum","dale",2
"dallas","cowboys","dallas",2
"dam","and","dam",2
"damage","to","damage",2
"damn","good","damn",2
"damon","and","damon",2
"damp","and","damp",2
"dan","and","dan",2
"dance","and","dance",2
"dancer","in","dancer",2
"dancers","and","dancers",2
"dancing","with","dancing",2
"danger","of","danger",2
"dangerous","and","dangerous",2
"dangerously","close","dangerously",2
"daniel","bryan","daniel",2
"danny","and","danny",2
"dare","to","dare",2
"dared","to","dared",2
"dark","and","dark",2
"darkest","moments","darkest",2
"darling","and","darling",2
"darth","vader","darth",2
"dash","of","dash",2
"data","to","data",2
"date","of","date",2
"dates","and","dates",2
"dating","to","dating",2
"daughter","and","daughter",2
"daughters","school","daughters",2
"daunting","task","daunting",2
"david","and","david",2
"davis","is","davis",2
"dawn","of","dawn",2
"dawson","and","dawson",2
"day","of","day",2
"days","of","days",2
"dc","and","dc",2
"de","la","de",2
"dead","and","dead",2
"deadline","for","deadline",2
"deal","with","deal",2
"dealer","who","dealer",2
"dealing","with","dealing",2
"dealings","with","dealings",2
"deals","with","deals",2
"dealt","with","dealt",2
"dean","of","dean",2
"dear","friend","dear",2
"death","of","death",2
"deathly","hallows","deathly",2
"deaths","of","deaths",2
"debate","on","debate",2
"debating","whether","debating",2
"debit","card","debit",2
"debt","and","debt",2
"debut","album","debut",2
"dec","at","dec",2
"decade","ago","decade",2
"decades","ago","decades",2
"december","is","december",2
"decide","to","decide",2
"decided","to","decided",2
"decides","to","decides",2
"deciding","to","deciding",2
"decision","to","decision",2
"decisions","that","decisions",2
"deck","and","deck",2
"decked","in","decked",2
"declaration","of","declaration",2
"declared","the","declared",2
"declaring","that","declaring",2
"decline","of","decline",2
"declined","to","declined",2
"decorate","the","decorate",2
"decorated","for","decorated",2
"decorating","the","decorating",2
"decrease","the","decrease",2
"dedicated","to","dedicated",2
"dedication","to","dedication",2
"deep","in","deep",2
"deeper","into","deeper",2
"deeply","and","deeply",2
"defeat","the","defeat",2
"defeated","in","defeated",2
"defeating","the","defeating",2
"defend","the","defend",2
"defenders","in","defenders",2
"defending","a","defending",2
"defense","and","defense",2
"defensive","end","defensive",2
"deficit","in","deficit",2
"define","the","define",2
"defined","by","defined",2
"definitely","a","definitely",2
"definition","of","definition",2
"degree","in","degree",2
"degrees","and","degrees",2
"deja","vu","deja",2
"del","rey","del",2
"delay","in","delay",2
"delayed","the","delayed",2
"delays","and","delays",2
"delete","any","delete",2
"deleted","from","deleted",2
"delicate","in","delicate",2
"delicious","and","delicious",2
"delight","in","delight",2
"delighted","to","delighted",2
"deliver","the","deliver",2
"delivered","to","delivered",2
"delivering","a","delivering",2
"delivery","and","delivery",2
"delmon","young","delmon",2
"delta","sigma","delta",2
"delve","into","delve",2
"demand","for","demand",2
"demanding","a","demanding",2
"demands","of","demands",2
"demo","in","demo",2
"democrat","party","democrat",2
"democratic","and","democratic",2
"democrats","are","democrats",2
"demonstrated","that","demonstrated",2
"demonstrates","the","demonstrates",2
"demonstrations","on","demonstrations",2
"denial","of","denial",2
"denied","a","denied",2
"denounced","the","denounced",2
"dense","fog","dense",2
"densely","populated","densely",2
"dental","work","dental",2
"dentists","office","dentists",2
"denver","post","denver",2
"deny","that","deny",2
"denying","them","denying",2
"department","of","department",2
"depend","on","depend",2
"dependency","on","dependency",2
"dependent","on","dependent",2
"depending","on","depending",2
"depends","on","depends",2
"depicted","in","depicted",2
"depression","and","depression",2
"depth","of","depth",2
"derby","on","derby",2
"derek","lowe","derek",2
"derived","from","derived",2
"derives","from","derives",2
"des","moines","des",2
"descended","on","descended",2
"descent","to","descent",2
"describe","the","describe",2
"described","as","described",2
"describes","how","describes",2
"describing","the","describing",2
"description","of","description",2
"descriptions","of","descriptions",2
"desert","is","desert",2
"deserve","to","deserve",2
"deserved","it","deserved",2
"deserves","a","deserves",2
"deserving","of","deserving",2
"design","and","design",2
"designed","to","designed",2
"designer","and","designer",2
"designers","and","designers",2
"designing","a","designing",2
"designs","by","designs",2
"desire","to","desire",2
"desires","of","desires",2
"desk","at","desk",2
"desperate","to","desperate",2
"desperately","to","desperately",2
"despite","the","despite",2
"dessert","wine","dessert",2
"desserts","are","desserts",2
"destination","for","destination",2
"destined","to","destined",2
"destroy","the","destroy",2
"destroyed","by","destroyed",2
"destroying","the","destroying",2
"destruction","of","destruction",2
"detail","of","detail",2
"detailed","information","detailed",2
"details","and","details",2
"determination","to","determination",2
"determine","the","determine",2
"determined","to","determined",2
"deterrent","to","deterrent",2
"detrimental","to","detrimental",2
"detroit","and","detroit",2
"deutsche","bank","deutsche",2
"develop","a","develop",2
"developed","a","developed",2
"developer","to","developer",2
"developers","who","developers",2
"developing","a","developing",2
"development","of","development",2
"developmental","delay","developmental",2
"developments","and","developments",2
"device","but","device",2
"devices","are","devices",2
"deviled","eggs","deviled",2
"devote","to","devote",2
"devoted","to","devoted",2
"devotion","to","devotion",2
"diagnosed","with","diagnosed",2
"dialogue","and","dialogue",2
"diamonds","and","diamonds",2
"diaper","and","diaper",2
"diapers","and","diapers",2
"diary","of","diary",2
"dick","clark","dick",2
"did","not","did",2
"didier","drogba","didier",2
"didnt","have","didnt",2
"die","and","die",2
"died","in","died",2
"diego","chargers","diego",2
"dies","from","dies",2
"diesel","fuel","diesel",2
"diet","and","diet",2
"differ","from","differ",2
"difference","between","difference",2
"differences","between","differences",2
"different","from","different",2
"differently","than","differently",2
"difficult","to","difficult",2
"difficulties","of","difficulties",2
"difficulty","in","difficulty",2
"dig","out","dig",2
"digest","the","digest",2
"digestive","tract","digestive",2
"digging","in","digging",2
"digital","media","digital",2
"dignity","of","dignity",2
"dijon","mustard","dijon",2
"dilemma","of","dilemma",2
"dim","sum","dim",2
"dimension","to","dimension",2
"dining","room","dining",2
"dinner","and","dinner",2
"dinners","with","dinners",2
"dip","in","dip",2
"dipped","in","dipped",2
"dire","need","dire",2
"direct","message","direct",2
"directed","by","directed",2
"directing","traffic","directing",2
"direction","of","direction",2
"directions","to","directions",2
"directly","to","directly",2
"director","of","director",2
"directors","at","directors",2
"dirt","on","dirt",2
"dirty","and","dirty",2
"disabilities","and","disabilities",2
"disabled","people","disabled",2
"disagree","with","disagree",2
"disagreement","about","disagreement",2
"disappear","from","disappear",2
"disappeared","from","disappeared",2
"disappointed","that","disappointed",2
"disappointing","but","disappointing",2
"disappointment","for","disappointment",2
"disapproval","of","disapproval",2
"disaster","in","disaster",2
"disbursement","of","disbursement",2
"disc","golf","disc",2
"discharged","in","discharged",2
"discipline","is","discipline",2
"disciplined","and","disciplined",2
"disclose","the","disclose",2
"disconnected","from","disconnected",2
"discount","on","discount",2
"discounts","and","discounts",2
"discover","that","discover",2
"discovered","that","discovered",2
"discovering","the","discovering",2
"discovery","of","discovery",2
"discrimination","against","discrimination",2
"discuss","the","discuss",2
"discussed","in","discussed",2
"discussing","the","discussing",2
"discussion","of","discussion",2
"discussions","about","discussions",2
"disdain","for","disdain",2
"disease","and","disease",2
"diseases","that","diseases",2
"disguised","as","disguised",2
"dish","it","dish",2
"dished","out","dished",2
"dishes","and","dishes",2
"dishing","out","dishing",2
"dislike","about","dislike",2
"disliked","the","disliked",2
"disney","world","disney",2
"disneyland","or","disneyland",2
"disorder","and","disorder",2
"disorderly","conduct","disorderly",2
"display","of","display",2
"displayed","on","displayed",2
"displays","are","displays",2
"dispose","of","dispose",2
"dispute","that","dispute",2
"disrespect","but","disrespect",2
"disruption","of","disruption",2
"disservice","to","disservice",2
"dissolution","of","dissolution",2
"distance","of","distance",2
"distracted","by","distracted",2
"distribution","of","distribution",2
"district","court","district",2
"districts","to","districts",2
"disturb","the","disturb",2
"disturbing","that","disturbing",2
"ditch","the","ditch",2
"ditched","the","ditched",2
"ditching","the","ditching",2
"ditto","for","ditto",2
"dive","in","dive",2
"diverse","group","diverse",2
"diversity","of","diversity",2
"divide","the","divide",2
"divided","into","divided",2
"dividing","the","dividing",2
"diving","in","diving",2
"division","of","division",2
"divisions","and","divisions",2
"divorce","in","divorce",2
"dizzy","and","dizzy",2
"dj","and","dj",2
"dl","is","dl",2
"dna","testing","dna",2
"do","you","do",2
"doc","is","doc",2
"doctor","who","doctor",2
"doctors","and","doctors",2
"doctrine","of","doctrine",2
"document","a","document",2
"documentaries","and","documentaries",2
"documentary","about","documentary",2
"documents","that","documents",2
"doesn’t","mean","doesn’t",2
"does","not","does",2
"doesnt","have","doesnt",2
"dog","and","dog",2
"dogs","and","dogs",2
"doing","it","doing",2
"dollar","bill","dollar",2
"dollars","in","dollars",2
"dolled","up","dolled",2
"domain","names","domain",2
"domestic","violence","domestic",2
"dominate","the","dominate",2
"dominated","by","dominated",2
"dominican","republic","dominican",2
"don","draper","don",2
"don’t","know","don’t",2
"donald","trump","donald",2
"donate","to","donate",2
"donated","to","donated",2
"donates","to","donates",2
"donating","a","donating",2
"donation","to","donation",2
"donations","to","donations",2
"done","with","done",2
"donkey","kong","donkey",2
"dont","know","dont",2
"donuts","and","donuts",2
"doomed","to","doomed",2
"door","and","door",2
"doors","open","doors",2
"dorm","room","dorm",2
"dorothy","and","dorothy",2
"dos","and","dos",2
"dose","of","dose",2
"double","the","double",2
"doubled","in","doubled",2
"doubles","as","doubles",2
"doubt","that","doubt",2
"doubted","that","doubted",2
"dough","for","dough",2
"dove","awards","dove",2
"dow","jones","dow",2
"down","the","down",2
"downey","jr","downey",2
"download","the","download",2
"downloaded","the","downloaded",2
"downloads","and","downloads",2
"downside","is","downside",2
"downsides","to","downsides",2
"downstairs","and","downstairs",2
"downton","abbey","downton",2
"downtown","and","downtown",2
"dozens","of","dozens",2
"dr","pepper","dr",2
"draft","pick","draft",2
"drafted","in","drafted",2
"drafting","and","drafting",2
"drafts","and","drafts",2
"drag","on","drag",2
"dragged","out","dragged",2
"dragon","tattoo","dragon",2
"dragons","but","dragons",2
"drake","and","drake",2
"drama","and","drama",2
"dramatic","and","dramatic",2
"drank","a","drank",2
"draw","a","draw",2
"drawing","on","drawing",2
"drawn","to","drawn",2
"draws","a","draws",2
"dream","of","dream",2
"dreamed","of","dreamed",2
"dreaming","of","dreaming",2
"dreams","and","dreams",2
"dress","and","dress",2
"dressed","in","dressed",2
"dresses","and","dresses",2
"dressing","room","dressing",2
"drew","a","drew",2
"dried","and","dried",2
"drift","away","drift",2
"drink","and","drink",2
"drinking","and","drinking",2
"drinks","and","drinks",2
"drive","to","drive",2
"driven","by","driven",2
"driver","and","driver",2
"drivers","license","drivers",2
"drives","a","drives",2
"driveway","and","driveway",2
"driving","the","driving",2
"drizzle","the","drizzle",2
"drop","in","drop",2
"dropped","the","dropped",2
"dropping","by","dropping",2
"drops","of","drops",2
"drought","in","drought",2
"drove","the","drove",2
"drowned","in","drowned",2
"drudgery","of","drudgery",2
"drug","use","drug",2
"drugs","and","drugs",2
"drum","set","drum",2
"drums","and","drums",2
"drunk","and","drunk",2
"dry","and","dry",2
"du","soleil","du",2
"dubai","and","dubai",2
"duchess","of","duchess",2
"duck","with","duck",2
"ducks","and","ducks",2
"duct","tape","duct",2
"dude","in","dude",2
"due","to","due",2
"duke","and","duke",2
"dumb","and","dumb",2
"dunkin","donuts","dunkin",2
"duo","of","duo",2
"during","the","during",2
"dust","and","dust",2
"duty","to","duty",2
"dvd","and","dvd",2
"dwight","howard","dwight",2
"dying","to","dying",2
"dylan","and","dylan",2
"dynamics","of","dynamics",2
"e","th","e",2
"each","other","each",2
"eager","to","eager",2
"eagerness","to","eagerness",2
"eagles","and","eagles",2
"ear","to","ear",2
"earl","grey","earl",2
"earlier","this","earlier",2
"earliest","known","earliest",2
"early","in","early",2
"earn","a","earn",2
"earned","the","earned",2
"ears","are","ears",2
"earth","day","earth",2
"earthquake","and","earthquake",2
"ease","the","ease",2
"easier","to","easier",2
"easiest","way","easiest",2
"easily","be","easily",2
"east","coast","east",2
"easter","and","easter",2
"eastern","european","eastern",2
"easy","to","easy",2
"eat","a","eat",2
"eaten","in","eaten",2
"eating","a","eating",2
"ebooks","are","ebooks",2
"echo","park","echo",2
"echoes","of","echoes",2
"economic","development","economic",2
"economically","disadvantaged","economically",2
"economics","of","economics",2
"economy","and","economy",2
"ed","wood","ed",2
"edge","of","edge",2
"edit","it","edit",2
"edited","by","edited",2
"edition","of","edition",2
"editor","of","editor",2
"editors","will","editors",2
"educate","the","educate",2
"educating","the","educating",2
"education","and","education",2
"edward","norton","edward",2
"effect","of","effect",2
"effective","and","effective",2
"effectiveness","is","effectiveness",2
"effects","of","effects",2
"efficiency","of","efficiency",2
"efficient","and","efficient",2
"effort","to","effort",2
"efforts","to","efforts",2
"egg","and","egg",2
"eggs","and","eggs",2
"ego","is","ego",2
"egypt","has","egypt",2
"eiffel","tower","eiffel",2
"eight","years","eight",2
"eighth","and","eighth",2
"eighty","percent","eighty",2
"either","way","either",2
"el","paso","el",2
"elbow","and","elbow",2
"elderly","people","elderly",2
"eldest","daughter","eldest",2
"eleanor","roosevelt","eleanor",2
"elected","officials","elected",2
"election","in","election",2
"elections","are","elections",2
"electoral","votes","electoral",2
"electric","company","electric",2
"electricity","in","electricity",2
"electronic","devices","electronic",2
"elegant","and","elegant",2
"element","of","element",2
"elementary","school","elementary",2
"elements","of","elements",2
"elevate","an","elevate",2
"elevator","and","elevator",2
"eli","manning","eli",2
"eligible","for","eligible",2
"eliminate","the","eliminate",2
"eliminated","but","eliminated",2
"eliminates","the","eliminates",2
"eliminating","the","eliminating",2
"elizabeth","taylor","elizabeth",2
"else","is","else",2
"elton","john","elton",2
"elvis","presley","elvis",2
"em","in","em",2
"email","to","email",2
"emailed","to","emailed",2
"emails","and","emails",2
"embarking","on","embarking",2
"embarrassed","to","embarrassed",2
"embassy","in","embassy",2
"embodiment","of","embodiment",2
"embrace","the","embrace",2
"embraced","by","embraced",2
"embracing","the","embracing",2
"emerald","city","emerald",2
"emergency","room","emergency",2
"emerges","as","emerges",2
"emerging","economies","emerging",2
"emily","blunt","emily",2
"emma","stone","emma",2
"emmy","awards","emmy",2
"emotion","and","emotion",2
"emotional","i","emotional",2
"emotionally","exhausting","emotionally",2
"emotions","and","emotions",2
"emphasis","on","emphasis",2
"emphasize","the","emphasize",2
"emphasizes","the","emphasizes",2
"empire","state","empire",2
"employed","by","employed",2
"employee","at","employee",2
"employees","and","employees",2
"employment","and","employment",2
"emptiness","of","emptiness",2
"empty","and","empty",2
"en","route","en",2
"enabled","me","enabled",2
"enamored","by","enamored",2
"enchilada","sauce","enchilada",2
"encounter","with","encounter",2
"encountered","a","encountered",2
"encourage","you","encourage",2
"encouraged","to","encouraged",2
"encouragement","from","encouragement",2
"encouraging","words","encouraging",2
"end","of","end",2
"endangering","the","endangering",2
"ended","up","ended",2
"ending","the","ending",2
"endorsed","by","endorsed",2
"endorsement","from","endorsement",2
"ends","up","ends",2
"endure","the","endure",2
"endured","a","endured",2
"enemy","of","enemy",2
"energy","and","energy",2
"enforce","the","enforce",2
"engage","in","engage",2
"engaged","in","engaged",2
"engagement","ring","engagement",2
"engaging","in","engaging",2
"engine","for","engine",2
"engineer","and","engineer",2
"engineers","and","engineers",2
"england","and","england",2
"english","and","english",2
"enjoy","the","enjoy",2
"enjoyable","to","enjoyable",2
"enjoyed","the","enjoyed",2
"enjoying","the","enjoying",2
"enjoyment","of","enjoyment",2
"enjoys","the","enjoys",2
"enlighten","me","enlighten",2
"enlivened","by","enlivened",2
"enough","to","enough",2
"enroll","in","enroll",2
"enrolled","in","enrolled",2
"ensure","that","ensure",2
"ensures","that","ensures",2
"ensuring","that","ensuring",2
"enter","the","enter",2
"entered","the","entered",2
"entering","the","entering",2
"enterprise","and","enterprise",2
"enters","the","enters",2
"entertain","you","entertain",2
"entertained","by","entertained",2
"entertaining","and","entertaining",2
"entertainment","and","entertainment",2
"enthusiasm","for","enthusiasm",2
"enthusiastic","about","enthusiastic",2
"entire","life","entire",2
"entirely","different","entirely",2
"entitled","to","entitled",2
"entrance","to","entrance",2
"entrepreneurs","who","entrepreneurs",2
"entries","for","entries",2
"entry","into","entry",2
"environment","and","environment",2
"environmental","health","environmental",2
"eons","ago","eons",2
"episode","of","episode",2
"episodes","of","episodes",2
"equal","to","equal",2
"equality","for","equality",2
"equally","as","equally",2
"equipment","and","equipment",2
"equivalent","of","equivalent",2
"era","of","era",2
"ereaders","are","ereaders",2
"error","in","error",2
"errors","in","errors",2
"erupted","in","erupted",2
"escape","the","escape",2
"escaped","from","escaped",2
"especially","when","especially",2
"espresso","bar","espresso",2
"essay","about","essay",2
"essays","and","essays",2
"essence","of","essence",2
"essential","to","essential",2
"essentially","a","essentially",2
"established","in","established",2
"estate","in","estate",2
"estimate","of","estimate",2
"estimated","to","estimated",2
"estimates","on","estimates",2
"etc","and","etc",2
"etch","a","etch",2
"ethics","and","ethics",2
"europe","to","europe",2
"european","tour","european",2
"eva","longoria","eva",2
"evacuated","from","evacuated",2
"eve","of","eve",2
"even","though","even",2
"evening","and","evening",2
"evenly","matched","evenly",2
"event","is","event",2
"events","and","events",2
"eventually","get","eventually",2
"ever","seen","ever",2
"every","day","every",2
"everybody","else","everybody",2
"everyday","life","everyday",2
"everyone","is","everyone",2
"everything","is","everything",2
"everywhere","i","everywhere",2
"evidence","of","evidence",2
"evident","in","evident",2
"evil","and","evil",2
"evolution","of","evolution",2
"evolved","from","evolved",2
"ex","and","ex",2
"exact","same","exact",2
"exactly","what","exactly",2
"exam","and","exam",2
"examination","of","examination",2
"examining","the","examining",2
"example","of","example",2
"examples","of","examples",2
"exceeds","the","exceeds",2
"excellence","in","excellence",2
"excellent","and","excellent",2
"except","for","except",2
"exception","of","exception",2
"exceptions","and","exceptions",2
"excess","of","excess",2
"exchange","for","exchange",2
"excited","to","excited",2
"excitement","of","excitement",2
"exciting","and","exciting",2
"exclusively","on","exclusively",2
"excuse","to","excuse",2
"excuses","for","excuses",2
"executed","the","executed",2
"executive","of","executive",2
"exercise","and","exercise",2
"exercising","in","exercising",2
"exhibit","at","exhibit",2
"exhibition","at","exhibition",2
"exist","in","exist",2
"existed","for","existed",2
"existence","of","existence",2
"exists","in","exists",2
"exit","the","exit",2
"exotic","animals","exotic",2
"expand","their","expand",2
"expanding","to","expanding",2
"expansion","of","expansion",2
"expect","to","expect",2
"expectation","is","expectation",2
"expectations","and","expectations",2
"expected","to","expected",2
"expecting","a","expecting",2
"expects","of","expects",2
"expense","of","expense",2
"expensive","and","expensive",2
"experience","of","experience",2
"experienced","in","experienced",2
"experiences","and","experiences",2
"experiment","in","experiment",2
"experimenting","with","experimenting",2
"expert","in","expert",2
"experts","in","experts",2
"expiration","date","expiration",2
"expired","in","expired",2
"explain","the","explain",2
"explained","to","explained",2
"explaining","the","explaining",2
"explains","the","explains",2
"explanation","of","explanation",2
"explanations","of","explanations",2
"exploded","in","exploded",2
"exploitation","of","exploitation",2
"exploration","of","exploration",2
"explore","the","explore",2
"explores","the","explores",2
"exploring","the","exploring",2
"explosion","of","explosion",2
"explosions","in","explosions",2
"expo","in","expo",2
"exposed","to","exposed",2
"exposure","to","exposure",2
"express","their","express",2
"expressed","in","expressed",2
"expression","of","expression",2
"extend","the","extend",2
"extended","family","extended",2
"extending","the","extending",2
"extends","to","extends",2
"extension","of","extension",2
"extent","of","extent",2
"extra","time","extra",2
"extract","the","extract",2
"extras","on","extras",2
"extreme","rules","extreme",2
"extremely","excited","extremely",2
"exxon","mobil","exxon",2
"eye","on","eye",2
"eyes","and","eyes",2
"f","kennedy","f",2
"fa","cup","fa",2
"fabric","in","fabric",2
"fabulous","and","fabulous",2
"face","of","face",2
"facebook","page","facebook",2
"faced","the","faced",2
"faces","and","faces",2
"facets","of","facets",2
"facilities","for","facilities",2
"facility","and","facility",2
"facing","the","facing",2
"fact","that","fact",2
"factor","in","factor",2
"factors","in","factors",2
"factory","and","factory",2
"facts","and","facts",2
"faculty","members","faculty",2
"fade","away","fade",2
"faded","in","faded",2
"fail","to","fail",2
"failed","to","failed",2
"failing","to","failing",2
"fails","to","fails",2
"failure","to","failure",2
"failures","the","failures",2
"fair","to","fair",2
"fairly","certain","fairly",2
"fairy","tale","fairy",2
"faith","in","faith",2
"faithful","and","faithful",2
"fake","and","fake",2
"fall","in","fall",2
"fallen","asleep","fallen",2
"falling","in","falling",2
"fallout","from","fallout",2
"falls","in","falls",2
"false","and","false",2
"fame","and","fame",2
"familiar","with","familiar",2
"families","and","families",2
"family","and","family",2
"famous","for","famous",2
"fan","of","fan",2
"fannie","mae","fannie",2
"fanny","pack","fanny",2
"fans","of","fans",2
"fantasizing","about","fantasizing",2
"fantastic","and","fantastic",2
"fantasy","and","fantasy",2
"far","as","far",2
"farewell","to","farewell",2
"farm","and","farm",2
"farmer","who","farmer",2
"farmers","market","farmers",2
"farms","in","farms",2
"fart","in","fart",2
"farther","away","farther",2
"fascinated","by","fascinated",2
"fashion","show","fashion",2
"fast","and","fast",2
"faster","than","faster",2
"fastest","player","fastest",2
"fat","and","fat",2
"fate","of","fate",2
"father","and","father",2
"fathers","day","fathers",2
"fatty","acid","fatty",2
"fault","of","fault",2
"favor","of","favor",2
"favorite","things","favorite",2
"favorites","as","favorites",2
"faze","him","faze",2
"fda","has","fda",2
"fear","of","fear",2
"feared","it","feared",2
"fearless","in","fearless",2
"fears","and","fears",2
"feast","for","feast",2
"feat","for","feat",2
"feature","of","feature",2
"featured","in","featured",2
"features","a","features",2
"featuring","a","featuring",2
"feb","th","feb",2
"february","and","february",2
"fed","up","fed",2
"federal","government","federal",2
"federally","recognized","federally",2
"federation","of","federation",2
"feds","to","feds",2
"fee","for","fee",2
"feed","the","feed",2
"feedback","on","feedback",2
"feel","like","feel",2
"feeling","of","feeling",2
"feelings","of","feelings",2
"feels","like","feels",2
"fees","and","fees",2
"feet","and","feet",2
"fell","in","fell",2
"fellow","artists","fellow",2
"felt","like","felt",2
"female","and","female",2
"females","who","females",2
"femme","fatale","femme",2
"fend","for","fend",2
"fenway","park","fenway",2
"ferris","wheel","ferris",2
"ferry","building","ferry",2
"fest","in","fest",2
"festival","in","festival",2
"festivals","and","festivals",2
"fever","and","fever",2
"few","weeks","few",2
"fewer","than","fewer",2
"fiance","and","fiance",2
"fiber","and","fiber",2
"fiction","is","fiction",2
"fidel","castro","fidel",2
"field","of","field",2
"fields","and","fields",2
"fifth","time","fifth",2
"fifty","years","fifty",2
"fight","for","fight",2
"fighter","and","fighter",2
"fighters","to","fighters",2
"fighting","for","fighting",2
"fights","it","fights",2
"figure","out","figure",2
"figured","out","figured",2
"figures","out","figures",2
"figuring","out","figuring",2
"file","a","file",2
"filed","a","filed",2
"files","from","files",2
"filing","of","filing",2
"fill","the","fill",2
"filled","with","filled",2
"filling","in","filling",2
"fills","the","fills",2
"film","is","film",2
"filmed","in","filmed",2
"filming","and","filming",2
"films","and","films",2
"final","four","final",2
"finale","of","finale",2
"finalists","for","finalists",2
"finally","got","finally",2
"finals","week","finals",2
"finance","and","finance",2
"financial","crisis","financial",2
"find","a","find",2
"finding","a","finding",2
"findings","from","findings",2
"finds","out","finds",2
"fine","and","fine",2
"finger","and","finger",2
"fingers","and","fingers",2
"finish","the","finish",2
"finished","the","finished",2
"finishing","up","finishing",2
"fire","and","fire",2
"fired","up","fired",2
"firefighters","and","firefighters",2
"fireworks","display","fireworks",2
"firing","squad","firing",2
"firm","in","firm",2
"firms","to","firms",2
"first","time","first",2
"fiscal","policy","fiscal",2
"fish","and","fish",2
"fishing","and","fishing",2
"fist","in","fist",2
"fit","in","fit",2
"fits","in","fits",2
"fitting","into","fitting",2
"five","years","five",2
"fix","it","fix",2
"fixed","and","fixed",2
"fixing","the","fixing",2
"flag","on","flag",2
"flags","and","flags",2
"flank","steak","flank",2
"flash","and","flash",2
"flashback","to","flashback",2
"flashes","of","flashes",2
"flat","and","flat",2
"flattered","to","flattered",2
"flavor","and","flavor",2
"flavors","of","flavors",2
"flaws","in","flaws",2
"flea","market","flea",2
"fleet","of","fleet",2
"flew","over","flew",2
"flexibility","for","flexibility",2
"flexible","and","flexible",2
"flight","to","flight",2
"flights","to","flights",2
"flip","the","flip",2
"flipped","over","flipped",2
"float","the","float",2
"floating","in","floating",2
"flood","the","flood",2
"flooded","with","flooded",2
"flooding","the","flooding",2
"floods","in","floods",2
"floor","and","floor",2
"floors","and","floors",2
"florida","and","florida",2
"flour","in","flour",2
"flow","of","flow",2
"flower","and","flower",2
"flowers","and","flowers",2
"fluent","in","fluent",2
"fluffy","and","fluffy",2
"fly","to","fly",2
"flyers","and","flyers",2
"flying","in","flying",2
"foam","core","foam",2
"focal","point","focal",2
"focus","on","focus",2
"focused","on","focused",2
"focuses","on","focuses",2
"focusing","on","focusing",2
"fog","and","fog",2
"foie","gras","foie",2
"folder","and","folder",2
"folks","who","folks",2
"follow","me","follow",2
"followed","by","followed",2
"follower","of","follower",2
"followers","to","followers",2
"following","the","following",2
"follows","the","follows",2
"followup","to","followup",2
"fond","of","fond",2
"font","on","font",2
"foo","fighters","foo",2
"food","and","food",2
"foods","are","foods",2
"fool","i","fool",2
"fooled","by","fooled",2
"fools","day","fools",2
"foot","in","foot",2
"footage","of","footage",2
"football","and","football",2
"footsteps","of","footsteps",2
"for","the","for",2
"forbidden","to","forbidden",2
"force","of","force",2
"forced","to","forced",2
"forces","of","forces",2
"forcing","the","forcing",2
"ford","and","ford",2
"forecast","for","forecast",2
"foreign","policy","foreign",2
"foremost","an","foremost",2
"foreseeable","future","foreseeable",2
"forest","and","forest",2
"forever","and","forever",2
"forget","to","forget",2
"forgiveness","and","forgiveness",2
"forgot","to","forgot",2
